Date,Open,High,Low,Close,Volume
2019-09-20 11:25:00,1.10359,1.10358,1.10362,1.10339,578
2019-09-20 11:30:00,1.10358,1.10328,1.10358,1.10324,609
2019-09-20 11:35:00,1.10328,1.10313,1.10338,1.10309,954
2019-09-20 11:40:00,1.10313,1.10298,1.10324,1.10282,985
2019-09-20 11:45:00,1.10298,1.10266,1.10304,1.10246,1878
2019-09-20 11:50:00,1.10266,1.1029,1.10316,1.10267,1169
2019-09-20 11:55:00,1.1029,1.10318,1.10323,1.10284,1153
2019-09-20 12:00:00,1.10318,1.10312,1.10332,1.10304,1025
2019-09-20 12:05:00,1.10312,1.10312,1.10323,1.10303,619
2019-09-20 12:10:00,1.10312,1.10293,1.10326,1.10289,991
2019-09-20 12:15:00,1.10293,1.10297,1.10316,1.10289,691
2019-09-20 12:20:00,1.10297,1.1027,1.10307,1.10269,1217
2019-09-20 12:25:00,1.1027,1.10249,1.10275,1.10246,833
2019-09-20 12:30:00,1.10249,1.1027,1.10276,1.10243,838
2019-09-20 12:35:00,1.1027,1.10276,1.10289,1.10264,770
2019-09-20 12:40:00,1.10276,1.10237,1.10276,1.1021,1684
2019-09-20 12:45:00,1.10237,1.10224,1.10244,1.10224,577
2019-09-20 12:50:00,1.10224,1.10204,1.10223,1.10183,672
2019-09-20 12:55:00,1.10204,1.10252,1.10252,1.10198,731
2019-09-20 13:00:00,1.10252,1.10232,1.10257,1.10215,957
2019-09-20 13:05:00,1.10232,1.10251,1.10252,1.10215,965
2019-09-20 13:10:00,1.10251,1.10215,1.10254,1.1021,1050
2019-09-20 13:15:00,1.10215,1.10207,1.10221,1.10181,1325
2019-09-20 13:20:00,1.10207,1.10143,1.10208,1.10122,1843
2019-09-20 13:25:00,1.10143,1.10163,1.10168,1.10125,1354
2019-09-20 13:30:00,1.10163,1.1017,1.10186,1.10156,1213
2019-09-20 13:35:00,1.1017,1.10167,1.10181,1.10152,901
2019-09-20 13:40:00,1.10167,1.10166,1.10178,1.1015,892
2019-09-20 13:45:00,1.10166,1.10185,1.10196,1.10162,698
2019-09-20 13:50:00,1.10185,1.10183,1.10191,1.10174,650
2019-09-20 13:55:00,1.10183,1.1019,1.10197,1.1018,545
2019-09-20 14:00:00,1.1019,1.10185,1.1022,1.10178,830
2019-09-20 14:05:00,1.10185,1.10142,1.1019,1.10134,1190
2019-09-20 14:10:00,1.10142,1.10113,1.10154,1.10104,1070
2019-09-20 14:15:00,1.10113,1.10096,1.10139,1.10077,1018
2019-09-20 14:20:00,1.10096,1.10118,1.1015,1.1009,1050
2019-09-20 14:25:00,1.10118,1.10115,1.10129,1.10091,768
2019-09-20 14:30:00,1.10115,1.10072,1.1012,1.10071,1079
2019-09-20 14:35:00,1.10072,1.10083,1.10098,1.10061,1287
2019-09-20 14:40:00,1.10083,1.10092,1.10094,1.10056,909
2019-09-20 14:45:00,1.10092,1.10074,1.10118,1.10072,1143
2019-09-20 14:50:00,1.10074,1.10059,1.10079,1.10042,1391
